Quarter,STP,STPName,CCG,CCGName,Provider,ProviderName,GroupType,VariableType,VariableA,VariableB,ReferralsReceived,FirstTreatment,EndedTreatedOnce,FinishedCourseTreatment,NotCaseness,Recovery,Improvement,Deterioration,NoReliableChange,ReliableRecovery,ProbDescMeanSession,FirstTreatment6WeeksFinishedCourse,FirstTreatment18WeeksFinishedCourse,RecoveryRate,ImprovementRate,ReliableRecoveryRate,FirstTreatment6WeeksFinishedCourseRate,FirstTreatment18WeeksFinishedCourseRate,CountAppropriatePairedADSM,CountADSMFinishedTreatment,PercentageAppropriatePairedADSM
Quarter 3 2020/21,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,,CCG,Age,18 to 64,NULL,80,55,15,35,*,15,20,*,10,10,,35,35,42,64,36,100,100,*,*,*
Quarter 3 2020/21,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,,CCG,Age,65 to 74,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2020/21,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,,CCG,Age,75 to 89,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2020/21,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2020/21,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,,CCG,Age,Under 18,NULL,5,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2020/21,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,,CCG,Gender,Female,NULL,65,50,10,25,*,10,15,*,5,10,,25,25,42,65,35,100,100,*,*,*
Quarter 3 2020/21,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,,CCG,Gender,Male,NULL,35,20,10,10,*,*,5,*,*,*,,10,10,*,67,*,100,100,*,*,*
Quarter 3 2020/21,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2020/21,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,,CCG,Total,Total,NULL,100,70,20,35,*,15,25,*,10,15,,35,35,43,66,37,100,100,*,*,*
Quarter 3 2020/21,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,,CCG,Age,18 to 64,NULL,235,190,90,60,*,25,35,*,15,20,,40,55,44,62,41,67,95,*,10,*
Quarter 3 2020/21,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,,CCG,Age,65 to 74,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2020/21,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,,CCG,Age,75 to 89,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2020/21,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2020/21,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,,CCG,Age,Under 18,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2020/21,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,,CCG,Gender,Female,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2020/21,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,,CCG,Gender,Male,NULL,285,240,115,75,5,35,50,*,20,30,,50,75,47,65,44,66,96,*,10,*
Quarter 3 2020/21,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2020/21,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,,CCG,Total,Total,NULL,285,240,115,75,5,35,50,*,20,30,,50,75,47,65,44,66,96,*,10,*
Quarter 3 2020/21,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,,CCG,Age,18 to 64,NULL,5460,3940,1515,2350,135,1220,1695,120,515,1170,,2080,2210,55,72,53,89,94,115,395,29
Quarter 3 2020/21,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,,CCG,Age,65 to 74,NULL,215,180,70,105,5,65,80,5,20,60,,90,95,64,74,62,86,91,*,15,*
Quarter 3 2020/21,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,,CCG,Age,75 to 89,NULL,105,75,45,45,*,25,30,*,15,25,,40,40,63,65,56,91,93,*,5,*
Quarter 3 2020/21,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,,CCG,Age,90 and over,NULL,5,5,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2020/21,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,,CCG,Age,Under 18,NULL,300,185,45,70,*,20,45,*,20,20,,65,65,30,65,27,93,96,5,20,26
Quarter 3 2020/21,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,,CCG,Gender,Female,NULL,5535,3915,1355,2225,125,1120,1590,110,515,1075,,1960,2095,53,71,51,88,94,120,400,30
Quarter 3 2020/21,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,,CCG,Gender,Male,NULL,2655,1860,800,1030,55,535,740,55,225,510,,925,970,55,72,52,90,94,45,175,25
Quarter 3 2020/21,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,,CCG,Gender,Not known/Not specified/Not recorded,NULL,10,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2020/21,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,,CCG,Total,Total,NULL,8225,5805,2160,3260,180,1655,2330,165,740,1590,,2890,3065,54,71,52,89,94,165,575,29
Quarter 3 2020/21,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,,CCG,Age,18 to 64,NULL,785,495,105,400,30,145,185,20,195,140,,400,400,39,46,37,100,100,10,25,30
Quarter 3 2020/21,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,,CCG,Age,65 to 74,NULL,30,20,5,15,*,10,10,*,*,10,,15,15,77,73,77,100,100,*,*,*
Quarter 3 2020/21,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,,CCG,Age,75 to 89,NULL,20,10,*,5,*,*,*,*,5,*,,5,5,*,*,*,100,100,*,*,*
Quarter 3 2020/21,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2020/21,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,,CCG,Age,Under 18,NULL,55,40,*,10,*,*,*,*,5,*,,10,10,*,*,*,100,100,*,*,*
Quarter 3 2020/21,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,,CCG,Gender,Female,NULL,755,480,85,340,25,125,155,15,170,115,,340,340,39,45,37,100,100,10,20,38
Quarter 3 2020/21,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,,CCG,Gender,Male,NULL,385,240,55,195,15,70,90,10,90,70,,190,195,39,47,39,99,100,*,15,*
Quarter 3 2020/21,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2020/21,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,,CCG,Total,Total,NULL,1145,720,145,535,40,195,245,25,260,185,,535,535,39,46,38,100,100,10,40,32
Quarter 3 2020/21,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,00R,NHS BLACKPOOL CCG,All_Provider,,CCG,Age,18 to 64,NULL,690,565,220,440,30,235,310,20,105,225,,415,435,57,71,55,94,99,*,15,*
Quarter 3 2020/21,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,00R,NHS BLACKPOOL CCG,All_Provider,,CCG,Age,65 to 74,NULL,35,35,10,25,*,15,15,*,5,10,,25,25,65,61,60,100,100,*,*,*
Quarter 3 2020/21,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,00R,NHS BLACKPOOL CCG,All_Provider,,CCG,Age,75 to 89,NULL,15,15,*,10,*,5,5,*,*,5,,10,10,56,60,56,100,100,*,*,*
