Quarter,STP,STPName,CCG,CCGName,Provider,ProviderName,GroupType,VariableType,VariableA,VariableB,ReferralsReceived,FirstTreatment,EndedTreatedOnce,FinishedCourseTreatment,NotCaseness,Recovery,Improvement,Deterioration,NoReliableChange,ReliableRecovery,ProbDescMeanSession,FirstTreatment6WeeksFinishedCourse,FirstTreatment18WeeksFinishedCourse,RecoveryRate,ImprovementRate,ReliableRecoveryRate,FirstTreatment6WeeksFinishedCourseRate,FirstTreatment18WeeksFinishedCourseRate,CountAppropriatePairedADSM,CountADSMFinishedTreatment,PercentageAppropriatePairedADSM
Quarter 1 2021/22,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Age,18 to 64,NULL,90,65,20,50,*,20,35,*,15,20,,50,50,44,65,40,100,100,*,*,*
Quarter 1 2021/22,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Age,65 to 74,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 1 2021/22,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Age,75 to 89,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 1 2021/22,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 1 2021/22,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Age,Under 18,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 1 2021/22,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Gender,Female,NULL,75,60,15,40,*,20,25,*,10,20,,40,40,55,63,50,100,100,*,*,*
Quarter 1 2021/22,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Gender,Male,NULL,40,25,5,20,*,*,10,*,10,*,,20,20,*,45,*,100,100,*,*,*
Quarter 1 2021/22,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 1 2021/22,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Total,Total,NULL,115,80,20,65,*,20,35,5,20,20,,65,65,37,57,34,100,100,*,*,*
Quarter 1 2021/22,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Age,18 to 64,NULL,280,195,75,95,5,40,65,10,20,40,,80,95,43,70,43,83,99,*,10,*
Quarter 1 2021/22,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Age,65 to 74,NULL,5,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 1 2021/22,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Age,75 to 89,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 1 2021/22,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 1 2021/22,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Age,Under 18,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
