Quarter,STP,STPName,CCG,CCGName,Provider,ProviderName,GroupType,VariableType,VariableA,VariableB,ReferralsReceived,FirstTreatment,EndedTreatedOnce,FinishedCourseTreatment,NotCaseness,Recovery,Improvement,Deterioration,NoReliableChange,ReliableRecovery,ProbDescMeanSession,FirstTreatment6WeeksFinishedCourse,FirstTreatment18WeeksFinishedCourse,RecoveryRate,ImprovementRate,ReliableRecoveryRate,FirstTreatment6WeeksFinishedCourseRate,FirstTreatment18WeeksFinishedCourseRate,CountAppropriatePairedADSM,CountADSMFinishedTreatment,PercentageAppropriatePairedADSM
Quarter 3 2021/22,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Age,18 to 64,NULL,100,60,25,60,*,30,40,*,15,30,,60,60,50,66,47,97,100,5,10,88
Quarter 3 2021/22,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Age,65 to 74,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Age,75 to 89,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Age,Under 18,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Gender,Female,NULL,85,55,20,45,*,20,30,*,10,20,,45,45,49,66,47,96,100,*,5,*
Quarter 3 2021/22,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Gender,Male,NULL,50,30,15,20,*,10,15,*,5,10,,20,20,52,64,48,100,100,*,*,*
Quarter 3 2021/22,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Total,Total,NULL,135,80,35,70,*,35,45,5,15,30,,65,70,50,65,47,97,100,5,10,78
Quarter 3 2021/22,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Age,18 to 64,NULL,300,215,85,105,10,35,65,10,30,30,,95,105,36,61,34,89,100,*,10,*
