Quarter,STP,STPName,CCG,CCGName,Provider,ProviderName,GroupType,VariableType,VariableA,VariableB,ReferralsReceived,FirstTreatment,EndedTreatedOnce,FinishedCourseTreatment,NotCaseness,Recovery,Improvement,Deterioration,NoReliableChange,ReliableRecovery,ProbDescMeanSession,FirstTreatment6WeeksFinishedCourse,FirstTreatment18WeeksFinishedCourse,RecoveryRate,ImprovementRate,ReliableRecoveryRate,FirstTreatment6WeeksFinishedCourseRate,FirstTreatment18WeeksFinishedCourseRate,CountAppropriatePairedADSM,CountADSMFinishedTreatment,PercentageAppropriatePairedADSM
Quarter 2 2021/22,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Age,18 to 64,NULL,90,75,25,40,*,20,25,*,10,20,,35,40,54,66,54,95,100,*,5,*
Quarter 2 2021/22,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Age,65 to 74,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Age,75 to 89,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Age,Under 18,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Gender,Female,NULL,70,55,15,40,*,20,30,*,10,20,,40,40,51,68,51,93,100,*,5,*
Quarter 2 2021/22,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Gender,Male,NULL,40,35,10,10,*,*,5,*,*,*,,10,10,*,45,*,91,100,*,*,*
Quarter 2 2021/22,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Total,Total,NULL,110,95,30,55,5,25,35,5,10,25,,50,55,49,64,49,91,100,*,10,*
Quarter 2 2021/22,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Age,18 to 64,NULL,295,180,80,90,5,40,60,10,20,35,,85,90,45,65,43,91,99,*,10,*
Quarter 2 2021/22,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Age,65 to 74,NULL,5,5,5,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Age,75 to 89,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Age,Under 18,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Gender,Female,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Gender,Male,NULL,360,225,105,110,10,45,70,10,25,45,,100,110,46,64,44,92,99,*,10,*
Quarter 2 2021/22,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Total,Total,NULL,360,225,105,110,10,45,70,10,25,45,,100,110,46,64,44,92,99,*,10,*
Quarter 2 2021/22,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Age,18 to 64,NULL,1975,1075,510,635,55,250,390,40,175,240,,555,625,43,61,42,87,98,50,95,55
Quarter 2 2021/22,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Age,65 to 74,NULL,85,65,20,30,*,15,20,*,5,15,,30,30,46,65,46,90,100,*,*,*
Quarter 2 2021/22,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Age,75 to 89,NULL,25,15,5,15,*,5,5,*,5,*,,15,15,38,54,*,100,100,*,5,*
Quarter 2 2021/22,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Age,Under 18,NULL,50,25,5,15,*,10,10,*,*,10,,15,15,82,64,82,100,100,*,*,*
Quarter 2 2021/22,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Gender,Female,NULL,1880,1045,490,645,55,275,410,40,165,265,,565,635,47,64,45,88,99,50,100,48
Quarter 2 2021/22,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Gender,Male,NULL,950,475,240,260,15,95,155,20,80,95,,220,255,40,60,38,84,98,25,40,63
