Quarter,STP,STPName,CCG,CCGName,Provider,ProviderName,GroupType,VariableType,VariableA,VariableB,ReferralsReceived,FirstTreatment,EndedTreatedOnce,FinishedCourseTreatment,NotCaseness,Recovery,Improvement,Deterioration,NoReliableChange,ReliableRecovery,ProbDescMeanSession,FirstTreatment6WeeksFinishedCourse,FirstTreatment18WeeksFinishedCourse,RecoveryRate,ImprovementRate,ReliableRecoveryRate,FirstTreatment6WeeksFinishedCourseRate,FirstTreatment18WeeksFinishedCourseRate,CountAppropriatePairedADSM,CountADSMFinishedTreatment,PercentageAppropriatePairedADSM
Quarter 4 2021/22,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Age,18 to 64,NULL,,,,,,20.0,30.0,5.0,15.0,15.0,,,,44.0,56.0,35.0,,,10.0,15.0,69.0
Quarter 4 2021/22,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Gender,Female,NULL,35.0,20.0,10.0,15.0,,15.0,10.0,5.0,15.0,15.0,,15.0,15.0,35.0,56.0,30.0,88.0,100.0,10.0,15.0,67.0
Quarter 4 2021/22,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Gender,Male,NULL,,,,,,10.0,,,5.0,5.0,,,,60.0,65.0,47.0,,,,,
Quarter 4 2021/22,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Total,Total,NULL,,,,,,25.0,35.0,5.0,20.0,20.0,,,,41.0,58.0,34.0,,,10.0,20.0,67.0
Quarter 4 2021/22,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Gender,Male,NULL,,,,,,45.0,,10.0,20.0,45.0,,,,50.0,69.0,48.0,,,,15.0,
Quarter 4 2021/22,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Total,Total,NULL,,175.0,100.0,100.0,10.0,45.0,70.0,10.0,20.0,45.0,,80.0,100.0,50.0,69.0,48.0,76.0,98.0,,15.0,
Quarter 4 2021/22,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Age,18 to 64,NULL,30.0,15.0,155.0,230.0,15.0,105.0,150.0,15.0,55.0,100.0,,,5.0,49.0,66.0,46.0,86.0,100.0,15.0,30.0,45.0
Quarter 4 2021/22,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Age,65 to 74,NULL,40.0,15.0,5.0,10.0,,,5.0,,,,,10.0,10.0,,50.0,,100.0,100.0,,,
Quarter 4 2021/22,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Gender,Female,NULL,450.0,220.0,,,15.0,105.0,155.0,20.0,60.0,95.0,,85.0,95.0,44.0,64.0,42.0,86.0,98.0,15.0,30.0,42.0
Quarter 4 2021/22,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Gender,Male,NULL,45.0,,85.0,95.0,5.0,45.0,65.0,5.0,20.0,40.0,,,,48.0,69.0,45.0,,,5.0,15.0,47.0
